--------Result---------------
[167, 'A320', 'BL424', 710, 755, 3, 'A320', 'BL764', 0.052702702702702706, 0.052702702702702706]
[168, 'A321', 'VJ621', 580, 760, 75, 'A321', 'VJ660', 0.052702702702702706, 0.052702702702702706]
[169, 'A321', 'VN1345', 720, 760, 41, 'A321', 'VN1346', 0.052702702702702706, 0.052702702702702706]
[170, 'A321', 'BL313', 705, 760, 2, 'A321', 'VJ220', 0.052702702702702706, 0.052702702702702706]
[171, 'A320', 'AK528', 730, 760, 59, 'A320', 'AK529', 0.052702702702702706, 0.052702702702702706]
[172, 'B773', 'BR391', 700, 770, 18, 'B773', 'BR392', 0.052702702702702706, 0.052702702702702706]
[173, 'A321', 'VJ635', 725, 780, 42, 'A321', 'VJ638', 0.052702702702702706, 0.052702702702702706]
[174, 'A321', 'VN7392', 720, 780, 32, 'A321', 'VN126', 0.052702702702702706, 0.052702702702702706]
[175, 'A320', 'BL432', 710, 780, 36, 'A320', 'QH1122', 0.052702702702702706, 0.052702702702702706]
[176, 'A321', 'VN119', 720, 780, 33, 'A321', 'VN1286', 0.052702702702702706, 0.052702702702702706]
[177, 'A321', 'VN1815', 725, 780, 34, 'A321', 'VN238', 0.052702702702702706, 0.052702702702702706]
[178, 'A321', 'VN1426', 755, 790, 8, 'A320', 'BL131', 0.12287814129919393, 0.12287814129919392]
[179, 'A320', 'VJ387', 770, 805, 9, 'A320', 'VJ252', 0.052702702702702706, 0.0527027027027027]
[180, 'A320', 'AK526', 775, 805, 55, 'A320', 'AK527', 0.052702702702702706, 0.052702702702702706]
[181, 'A321', 'VJ322', 765, 810, 40, 'A321', 'VJ331', 0.052702702702702706, 0.052702702702702706]
[182, 'A321', 'VJ220', 760, 810, 2, 'A321', 'VN7132', 0.052702702702702706, 0.052702702702702706]
[183, 'A320', 'AK1502', 780, 810, 56, 'A320', 'AK1503', 0.052702702702702706, 0.052702702702702706]
[184, 'A321', 'VN1385', 770, 815, 31, 'A321', 'VN1825', 0.052702702702702706, 0.052702702702702706]
[185, 'B772', 'KE681', 760, 835, 15, 'B772', 'KE682', 0.052702702702702706, 0.052702702702702706]
[186, 'A320', '3U8913', 780, 835, 57, 'A320', '3U8914', 0.052702702702702706, 0.052702702702702706]
[187, 'A320', 'VJ252', 805, 840, 9, 'A321', 'VN128', 0.052702702702702706, 0.0527027027027027]
[188, 'A320', 'BL503', 800, 840, 3, 'A320', 'BL678', 0.052702702702702706, 0.052702702702702706]
[189, 'B787', 'VN229', 790, 840, 4, 'B787', 'VN242', 0.052702702702702706, 0.052702702702702706]
[190, 'A321', 'VN231', 795, 840, 1, 'A321', 'VJ146', 0.052702702702702706, 0.052702702702702706]
[191, 'AT72', 'K6812', 735, 840, 16, 'E135', 'N650AP', 0.052702702702702706, 0.052702702702702706]
[192, 'A321', 'VJ651', 745, 845, 43, 'A321', 'VJ1624', 0.052702702702702706, 0.052702702702702706]
[193, 'A321', 'VJ645', 815, 845, 33, 'A321', 'VJ632', 0.052702702702702706, 0.052702702702702706]
[194, 'A321', 'VN7132', 810, 850, 2, 'A321', 'VJ372', 0.052702702702702706, 0.052702702702702706]
[195, 'A321', 'VN1825', 815, 850, 31, 'A321', 'VJ620', 0.052702702702702706, 0.052702702702702706]
[196, 'A321', 'VJ373', 815, 850, 32, 'A321', 'VN1186', 0.052702702702702706, 0.052702702702702706]
[197, 'A321', 'VN238', 780, 850, 34, 'A321', 'VJ140', 0.052702702702702706, 0.052702702702702706]
[198, 'A321', 'VJ802', 780, 850, 37, 'A321', 'VN655', 0.14874790044281572, 0.14874790044281572]
[199, 'A321', 'CZ8465', 790, 850, 52, 'A321', 'CZ8466', 0.052702702702702706, 0.052702702702702706]
[200, 'AT72', '0V8073', 745, 860, 17, 'AT72', '0V8079', 0.052702702702702706, 0.052702702702702706]
[201, 'A350', 'VN301', 810, 870, 5, 'A350', 'VN246', 0.052702702702702706, 0.052702702702702706]
[202, 'A320', 'QH1971', 840, 885, 36, 'A320', 'VJ813', 0.10298203231164126, 0.10298203231164126]
[203, 'A320', 'VJ826', 845, 895, 58, 'A320', 'VJ327', 0.052702702702702706, 0.052702702702702706]
[204, 'A320', 'AK528', 760, 895, 59, 'A320', 'QH204', 0.052702702702702706, 0.052702702702702706]
